iter	TotalF1	MultiClass
0	0.7286659187	1.035450867
1	0.7334918131	0.9833244976
2	0.7350480486	0.9373767706
3	0.7358452369	0.8978382325
4	0.7360285219	0.8632221036
5	0.7366206415	0.8328833254
6	0.7365423693	0.8063156843
7	0.7372683721	0.7822364165
8	0.7385239152	0.7606769719
9	0.7387780473	0.7415266332
10	0.7389368124	0.7244995924
11	0.7388198284	0.7093032437
12	0.7397152473	0.6951363045
13	0.7405325474	0.6817076691
14	0.741152595	0.6701238668
15	0.7411242612	0.6595812492
16	0.7412379987	0.6497356122
17	0.7421227075	0.6408660084
18	0.7422273838	0.6325926316
19	0.742517075	0.62508279
20	0.7429013673	0.6184636601
21	0.7431516553	0.6124690849
22	0.7432895281	0.606368281
23	0.7434402037	0.6008994812
24	0.7435110165	0.5961937957
25	0.744130751	0.5908829466
26	0.7447249187	0.585826162
27	0.7455209078	0.5809500376
28	0.7463162242	0.5763647399
29	0.746820634	0.5722393189
30	0.7474936373	0.5682144806
31	0.7482294437	0.5643302309
32	0.7487930846	0.5609103907
33	0.7491143754	0.5580310723
34	0.7499360067	0.5543769608
35	0.7504295447	0.5515833163
36	0.7508956503	0.5488514698
37	0.7515072366	0.5460993599
38	0.7517866592	0.5441041549
39	0.7525206652	0.5413523809
40	0.7529304828	0.5391818304
41	0.7530933222	0.5374989263
42	0.753919602	0.5349073221
43	0.7541638791	0.533540098
44	0.7545735833	0.5317102386
45	0.7549477828	0.5295719041
46	0.7553036	0.527712911
47	0.7555895358	0.5262745175
48	0.7565531448	0.5241468186
49	0.7571580129	0.5223100546
50	0.7580538833	0.5199417224
51	0.7584009849	0.5184239187
52	0.7590084601	0.516824921
53	0.7593122024	0.5157509624
54	0.7603640813	0.5132830405
55	0.7606744644	0.5116430802
56	0.7612665852	0.5099769618
57	0.7621233826	0.50802378
58	0.7626403569	0.5068966191
59	0.7630082857	0.5054482071
60	0.7632943776	0.5044597391
61	0.7641647868	0.5025115614
62	0.7649998441	0.5007448862
63	0.7655875274	0.4991355701
64	0.7658957262	0.4981305939
65	0.7664709046	0.4970648607
66	0.76653791	0.4963763039
67	0.7673965361	0.49479671
68	0.7683431731	0.4932618545
69	0.7692476763	0.4913874318
70	0.7697571585	0.4902355521
71	0.7706077188	0.4888269886
72	0.7707835578	0.4880496496
73	0.7715766438	0.4866901833
74	0.7721405082	0.4854671588
75	0.7727318021	0.4840560284
76	0.7727793007	0.4835126898
77	0.7734933374	0.4824106652
78	0.7740666925	0.4814207031
79	0.7741773705	0.4808966108
80	0.7748226897	0.4796526736
81	0.7750809976	0.4789030238
82	0.7753855241	0.4784102626
83	0.7759575088	0.4774665328
84	0.7767150599	0.4761663467
85	0.7773902674	0.4751028485
86	0.7782602753	0.4738034877
87	0.7787520803	0.472885722
88	0.7793105467	0.4720119093
89	0.7796574385	0.4712070323
90	0.7801088269	0.4703326096
91	0.7803437845	0.4699250121
92	0.7805176634	0.4696353309
93	0.7807728779	0.4692041931
94	0.781644504	0.4679258421
95	0.7818589702	0.4675052547
96	0.7824236903	0.4666694481
97	0.7827192596	0.4661194662
98	0.7831193927	0.4656166131
99	0.7835931142	0.4646581298
100	0.7837768372	0.4641110549
101	0.7846342108	0.4629287418
102	0.7850975387	0.462187184
103	0.7853226091	0.4615777976
104	0.7857240326	0.4608242263
105	0.785882196	0.4605485865
106	0.7863122756	0.4597497264
107	0.7867900095	0.4590227959
108	0.7869316498	0.4587526545
109	0.7873292876	0.4581141703
110	0.7875109899	0.4575696609
111	0.7880137786	0.456706375
112	0.7887125253	0.4558249391
113	0.7890966461	0.4551271949
114	0.7895390271	0.4544166537
115	0.7898766588	0.4539232135
116	0.7900241327	0.4534506724
117	0.7902431144	0.4529325917
118	0.7906991075	0.4521564877
119	0.7907376053	0.4518155866
120	0.7911485126	0.4509978187
121	0.7913697367	0.4506596745
122	0.7915078871	0.4504275987
123	0.7918185756	0.4498881262
124	0.7919406882	0.4496879031
125	0.7923938283	0.4489302077
126	0.792943628	0.4481611955
127	0.7932909102	0.4474325002
128	0.793610784	0.4469128042
129	0.7940864685	0.4461950162
130	0.7943733566	0.4458329466
131	0.7946812129	0.4452990944
132	0.794952397	0.4448141443
133	0.7951145198	0.4444048003
134	0.7953589683	0.4438566518
135	0.7956632908	0.4432588322
136	0.7960080611	0.4426109111
137	0.796550153	0.4417566573
138	0.7968672964	0.4413753437
139	0.7970466941	0.4408173003
140	0.7973426285	0.4404761486
141	0.7975830911	0.4401147045
142	0.7978005734	0.439703458
143	0.7980186665	0.4393763955
144	0.7983107825	0.4389002626
145	0.7984730786	0.4386005038
146	0.798856763	0.4379666836
147	0.799268953	0.4373640722
148	0.7996082301	0.4369079816
149	0.7996804499	0.4366801695
150	0.7999651062	0.4363337504
151	0.80025139	0.4359157852
152	0.8004822409	0.4355665739
153	0.8007777861	0.4350200181
154	0.800930382	0.434657205
155	0.8010626967	0.4344156658
156	0.8012125687	0.434152928
157	0.801316913	0.433849438
158	0.801474649	0.4334941667
159	0.8016936753	0.4330362834
160	0.8020596032	0.4325346288
161	0.8022710589	0.4320197641
162	0.8025163951	0.4316161895
163	0.8026909677	0.431220761
164	0.8028095985	0.4308289521
165	0.8030232463	0.4304159587
166	0.8031535008	0.4300845204
167	0.8033756195	0.4297514746
168	0.8037048283	0.4293374349
169	0.8038277861	0.429081642
170	0.8040374295	0.4287733653
171	0.804181397	0.4285179471
172	0.8043157204	0.4284047114
173	0.8044104439	0.4280610126
174	0.8044659611	0.4277712375
175	0.8045665266	0.4275476146
176	0.8048304301	0.4270875154
177	0.8049457411	0.4267860477
178	0.8050216946	0.4266348471
179	0.8051311792	0.4264519854
180	0.8051649854	0.4261109136
181	0.805405341	0.4257489709
182	0.805539547	0.4254577364
183	0.8057086398	0.4250367709
184	0.8058319813	0.4247914702
185	0.8059872212	0.4245230825
186	0.8062739475	0.4241876607
187	0.8063846685	0.4240087615
188	0.8066112696	0.4236234429
189	0.8066690508	0.4235243042
190	0.8067964467	0.4232017995
191	0.8069181858	0.4230218062
192	0.8070992784	0.4226705332
193	0.8072238269	0.4225076333
194	0.8072410404	0.422364992
195	0.807435838	0.4218811614
196	0.8076318681	0.4215013993
197	0.8077695739	0.4212945432
198	0.8078914257	0.4210089081
199	0.8078455484	0.4208663603
200	0.8078057251	0.4207230201
201	0.8078591109	0.4205531157
202	0.807984987	0.4202889828
203	0.8081137862	0.4200141342
204	0.808323907	0.4197473384
205	0.8085669662	0.4194625522
206	0.8087899918	0.4191769851
207	0.8087756099	0.4190423936
208	0.8088361876	0.4189292565
209	0.8089864121	0.4187157635
210	0.8091040301	0.4185183503
211	0.8092747315	0.4181652443
212	0.8093502248	0.4180321367
213	0.809451186	0.4179063805
214	0.8095093879	0.4177537959
215	0.8095867727	0.4175909581
216	0.8096837836	0.4173164598
217	0.809686327	0.41715707
218	0.8098539444	0.4168455152
219	0.8099474463	0.4166474978
220	0.8100210633	0.4163558962
221	0.8101481867	0.4161751462
222	0.8102721836	0.415985003
223	0.810431631	0.4157815861
224	0.810593626	0.4155115726
225	0.8105984641	0.4152865256
226	0.8106288671	0.415035904
227	0.8107782594	0.4148168441
228	0.8107978169	0.4146993549
229	0.810845414	0.4146000407
230	0.8109341505	0.4145031933
231	0.811012195	0.4143945283
232	0.8111914198	0.4141422515
233	0.8112704788	0.413930635
