iter	Passed	Remaining
0	280	83980
1	434	64787
2	590	58496
3	754	55816
4	907	53550
5	1062	52078
6	1221	51138
7	1379	50361
8	1533	49594
9	1699	49282
10	1874	49254
11	2041	48985
12	2207	48726
13	2380	48638
14	2557	48598
15	2719	48265
16	2880	47952
17	3028	47448
18	3187	47137
19	3345	46843
20	3490	46375
21	3640	46007
22	3793	45687
23	3947	45391
24	4102	45129
25	4254	44831
26	4413	44625
27	4564	44344
28	4719	44104
29	4893	44038
30	5057	43888
31	5213	43661
32	5367	43427
33	5514	43146
34	5663	42880
35	5812	42628
36	5954	42327
37	6100	42059
38	6246	41803
39	6407	41650
40	6556	41418
41	6705	41192
42	6856	40981
43	7006	40766
44	7153	40537
45	7303	40325
46	7453	40124
47	7608	39944
48	7768	39791
49	7925	39625
50	8079	39446
51	8228	39242
52	8395	39124
53	8546	38931
54	8732	38897
55	8910	38825
56	9087	38741
57	9282	38732
58	9477	38713
59	9704	38816
60	9915	38851
61	10099	38767
62	10259	38594
63	10426	38445
64	10594	38304
65	10764	38166
66	10928	38006
67	11096	37858
68	11264	37710
69	11430	37558
70	11597	37406
71	11766	37261
72	11933	37107
73	12100	36955
74	12277	36832
75	12450	36694
76	12608	36514
77	12775	36360
78	12943	36209
79	13128	36103
80	13302	35966
81	13484	35850
82	13661	35717
83	13828	35558
84	14004	35423
85	14166	35250
86	14315	35049
87	14475	34872
88	14629	34684
89	14781	34489
90	14933	34298
91	15076	34086
92	15228	33895
93	15391	33730
94	15555	33566
95	15715	33394
96	15899	33274
97	16050	33084
98	16198	32888
99	16346	32693
100	16521	32552
101	16751	32516
102	16955	32429
103	17139	32301
104	17322	32171
105	17498	32025
106	17682	31895
107	17867	31764
108	18049	31627
109	18211	31456
110	18402	31333
111	18589	31203
112	18771	31065
113	18956	30929
114	19145	30799
115	19331	30664
116	19500	30500
117	19667	30334
118	19865	30214
119	20048	30073
120	20236	29937
121	20416	29788
122	20589	29628
123	20779	29493
124	20962	29347
125	21153	29211
126	21342	29073
127	21513	28908
128	21673	28729
129	21855	28580
130	22014	28400
131	22198	28253
132	22372	28092
133	22539	27921
134	22705	27751
135	22867	27575
136	23034	27405
137	23198	27233
138	23415	27121
139	23711	27099
140	23928	26982
141	24126	26845
142	24284	26662
143	24451	26488
144	24616	26313
145	24787	26145
146	24975	25994
147	25157	25837
148	25337	25678
149	25511	25511
150	25682	25342
151	25855	25175
152	26036	25015
153	26207	24846
154	26375	24673
155	26550	24507
156	26728	24345
157	26909	24184
158	27091	24024
159	27285	23875
160	27459	23707
161	27638	23544
162	27804	23369
163	27967	23192
164	28143	23026
165	28317	22858
166	28480	22682
167	28648	22509
168	28817	22337
169	28979	22160
170	29151	21991
171	29333	21829
172	29499	21655
173	29680	21492
174	29851	21322
175	30015	21146
176	30178	20971
177	30339	20794
178	30506	20621
179	30673	20448
180	30842	20277
181	31012	20107
182	31194	19943
183	31370	19776
184	31533	19601
185	31705	19432
186	31880	19264
187	32046	19091
188	32218	18922
189	32420	18769
190	32620	18615
191	32795	18447
192	32963	18275
193	33120	18096
194	33294	17927
195	33503	17777
196	33688	17613
197	33862	17444
198	34070	17291
199	34237	17118
200	34399	16943
201	34571	16772
202	34736	16598
203	34901	16424
204	35081	16257
205	35252	16086
206	35422	15914
207	35586	15740
208	35750	15566
209	35920	15394
210	36091	15223
211	36254	15049
212	36422	14876
213	36590	14704
214	36757	14532
215	36910	14353
216	37074	14180
217	37239	14007
218	37411	13837
219	37573	13663
220	37746	13493
221	37924	13324
222	38097	13154
223	38264	12982
224	38437	12812
225	38606	12640
226	38781	12471
227	38940	12297
228	39103	12123
229	39268	11951
230	39431	11778
231	39591	11604
232	39757	11432
233	39924	11260
234	40096	11090
235	40270	10920
236	40430	10747
237	40603	10577
238	40762	10403
239	40927	10231
240	41106	10063
241	41275	9892
242	41431	9718
243	41599	9547
244	41771	9377
245	41942	9206
246	42111	9036
247	42280	8865
248	42448	8694
249	42626	8525
250	42802	8355
251	42985	8187
252	43166	8018
253	43333	7847
254	43501	7676
255	43670	7505
256	43836	7334
257	44015	7165
258	44188	6995
259	44364	6825
260	44530	6654
261	44695	6482
262	44863	6311
263	45111	6151
264	45399	5996
265	45641	5833
266	45811	5662
267	45980	5490
268	46143	5317
269	46324	5147
270	46490	4975
271	46652	4802
272	46815	4630
273	46989	4458
274	47168	4288
275	47344	4116
276	47511	3944
277	47696	3774
278	47877	3603
279	48064	3433
280	48248	3262
281	48425	3090
282	48591	2918
283	48763	2747
284	48945	2576
285	49108	2403
286	49251	2230
287	49405	2058
288	49580	1887
289	49732	1714
290	49903	1543
291	50069	1371
292	50237	1200
293	50403	1028
294	50566	857
295	50735	685
296	50892	514
297	51065	342
298	51235	171
299	51410	0
